Name	Reel	Media Start	Media End	Tracks	Comment 1	Log Note
HAINBURG_KULTURFABRIK_VERANSTALTUNG_06_MOV	VTZT10_007	01:13:31:02	01:13:33:14	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_01_MOV	VTZT10_007	01:13:33:14	01:13:37:21	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_39_MOV	Tape_001	01:13:37:21	01:13:40:24	1V,4A		
unknown	Tape_001	01:13:37:21	01:13:43:20	1V,4A		
unknown	Tape_001	01:13:43:20	01:13:47:01	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_40_MOV	Tape_001	01:13:40:24	01:13:43:20	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_03_MOV	VTZT10_007	01:13:43:20	01:13:47:16	1V,4A		
unknown	Tape_001	01:13:47:01	01:13:47:01	1V,4A		
unknown	Tape_001	01:13:47:01	01:13:48:13	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_37_MOV	VTZT10_007	01:13:47:16	01:13:50:15	1V,4A		
unknown	Tape_001	01:13:48:00	01:13:48:00	1V,4A		
unknown	Tape_001	01:13:48:00	01:14:20:04	1V,4A		
unknown	Tape_001	01:13:48:22	01:13:53:23	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_36_MOV	VTZT10_007	01:13:50:15	01:13:53:23	1V,4A		
HAINBURG_KULTURFABRIK_VORDEREINGANG_DAEMMERUNG_02_MOV	VTZT10_023	01:13:53:23	01:13:56:09	1V,4A		
HAINBURG_KULTURFABRIK_VORDEREINGANG_DAEMMERUNG_03_MOV	VTZT10_023	01:13:56:09	01:13:58:24	1V,4A		
HAINBURG_KULTURFABRIK_TERRASSE_DAEMMERUNG_06_MOV	VTZT10_023	01:13:58:24	01:14:00:22	1V,4A		
HAINBURG_KULTURFABRIK_TERRASSE_DAEMMERUNG_08_MOV	VTZT10_023	01:14:00:22	01:14:09:22	1V,4A		
HAINBURG_KULTURFABRIK_TERRASSE_DAEMMERUNG_14_MOV	VTZT10_023	01:14:09:22	01:14:12:20	1V,4A		
HAINBURG_KULTURFABRIK_HINTEREINGANG_LIFT_DAEMMERUNG_02_MOV	Tape_001	01:14:12:20	01:14:16:23	1V,4A		
HAINBURG_KULTURFABRIK_HINTEREINGANG_LIFT_DAEMMERUNG_05_MOV	Tape_001	01:14:16:23	01:14:19:22	1V,4A		
HAINBURG_KULTURFABRIK_HINTEREINGANG_LIFT_DAEMMERUNG_07_MOV	Tape_001	01:14:19:22	01:14:24:08	1V,4A		
unknown	Tape_001	01:14:20:04	01:14:20:04	1V,4A		
unknown	Tape_001	01:14:20:04	01:14:24:02	1V,4A		
TEXT	Tape_001	01:14:24:08	01:14:28:04	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_18_MOV	VTZT10_021	01:14:28:04	01:14:32:24	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_05_MOV	VTZT10_019	01:14:32:24	01:14:36:21	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_04_MOV	VTZT10_019	01:14:36:21	01:14:40:18	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_EINGANGSBEREICH_18_MOV	VTZT10_020_TC1	01:14:40:18	01:14:45:21	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_EINGANGSBEREICH_38_MOV	VTZT10_020_TC1	01:14:45:21	01:14:54:02	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_EINGANGSBEREICH_20_MOV	VTZT10_020_TC1	01:14:54:02	01:14:58:07	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_EINGANGSBEREICH_09_MOV	VTZT10_019	01:14:58:07	01:15:00:18	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_AUSSEN_EINGANGSBEREICH_06_MOV	VTZT10_019	01:15:00:18	01:15:03:23	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_INNEN_AUSSTELLUNGSHALLE_15_MOV	VTZT10_020_TC2	01:15:03:23	01:15:10:01	1V,4A		
KLOSTERNEUBURG_ESSL_MUSEUM_INNEN_STIEGENHAUS_01_MOV	VTZT10_019	01:15:10:01	01:15:14:19	1V,4A		
